IMMATRICOLAZIONI DI AUTO DIESEL IN EU+EFTA,,,,,,
DIESEL -  NEW PASSENGER CAR REGISTRATIONS BY MARKET IN THE EU+EFTA,,,,,,
COUNTRY,2021,2020,PERC_Change21/20
Austria,58263,90909,-35.9
Belgium,90897,142100,-36
Bulgaria1,3032,2635,15.1
Croatia,11572,12885,-10.2
Cyprus,1530,2856,-46.4
Czech Republic,49511,59767,-17.2
Denmark,23904,44709,-46.5
Estonia,4084,4637,-11.9          
Finland,8397,12777,-34.3         
France,349479,504178,-30.7       
Germany,524446,819896,-36        
Greece,17549,22251,-21.1        
Hungary,19015,27623,-31.2        
Ireland,35086,38233,-8.2         
Italy,323010,452156,-28.6        
Latvia1,3272,4614,-29.1          
Lithuania,3982,6946,-42.7        
Luxembourg,11194,16628,-32.7     
Netherlands,6921,12963,-46.6    
Poland,57005,79247,-28.1         
Portugal,32068,47741,-32.8       
Romania,19206,33834,-43.2        
Slovakia,14909,19082,-21.9       
Slovenia,13329,17806,-25.1       
Spain,171164,235888,-27.4        
Sweden,48366,64304,-24.8         
EUROPEAN UNION,1901191,2776665,-31.5
Iceland,1549,1803,-14.1         
Norway,7093,12163,-41.7   
Switzerland,32416,51823,-37.4 
United Kingdom,135773,261772,-48.1
